trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,16,-47.72343425612137,"{0: 8, 1: 3, 2: 1, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.36269336875624,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.48045426442414,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.90218070299116,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.45681052079965,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.47426606030697,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.90090951082361,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.36081628991167,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.59880332788651,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.504386900003645,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.5785453854877,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.05898444594551,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.73542907179345,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.2714200438216,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.27837832114915,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.86526566904529,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.11669687918113,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.79153684785982,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-220.5314601163345,"{0: 11, 1: 3, 2: 14, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.11570061845045,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.17163899645901,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.13902301217963,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.27251787439002,"{0: 17, 1: 7, 2: 2, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,1,-146.3584878419807,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.17135368378882,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.7144954238422,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.95803968910548,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,17,6.642072579640663,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.125146026390006,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-44.69834764476104,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
